"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000245281.8",29.8704358330335,0.592263035498478,0.246705237658856,2.40069096675385,0.0163641497463108,0.0272571325381301
"ENSG00000189298.14",88.2372895682166,0.328580102451993,0.136886650647137,2.40038090565164,0.016378019239005,0.027277397748897
"ENSG00000273749.5",3655.27460706506,-0.173073797982694,0.0721278861303729,-2.39954069456381,0.0164156550501665,0.0273372371531001
"ENSG00000108506.13",283.282789039211,-0.240155470432838,0.100086826243044,-2.39947133351656,0.0164187653512214,0.0273395742416585
"ENSG00000048342.18",477.309107230326,0.171873540762951,0.0716394224737005,2.39914749209553,0.0164332939610004,0.027360921972281
"ENSG00000205309.14",62.748972962439,-0.439338469557413,0.183158750613476,-2.39867583768661,0.0164544741578949,0.0273933387991895
"ENSG00000131263.13",1589.66954579443,-0.243622485706732,0.10159788380497,-2.39790905659411,0.0164889585488634,0.0274478953520209
"ENSG00000151327.13",1273.02609839499,0.181876925715643,0.0758724834697068,2.39713948190796,0.0165236323870654,0.0275027558914712
"ENSG00000174282.12",2226.02627479825,-0.114392568922599,0.0477228084922655,-2.39702089077885,0.0165289813014806,0.0275088002395901
"ENSG00000228526.7",126.807323034086,0.469160535772486,0.195783774685429,2.39631979987258,0.0165606342698617,0.0275586160104286
"ENSG00000104960.15",2883.08192677197,0.21932108015086,0.0915400888560026,2.3959019801244,0.0165795233710366,0.0275871832364319
"ENSG00000257354.2",29.7764513854473,0.482415551323951,0.201400922460205,2.39529961149643,0.0166067889954371,0.027629681036659
"ENSG00000165071.15",5.51627101693035,1.39062986442434,0.580672778513244,2.39485974869516,0.016626723820622,0.0276599745985566
"ENSG00000259343.8",15.1219442916904,0.749682298767133,0.313057616299422,2.3947103016657,0.0166335016236033,0.027668376311689
"ENSG00000108381.11",11.5623425350019,1.01423437828887,0.423638289454651,2.39410460181607,0.0166609965024329,0.0277112337465699
"ENSG00000068323.17",2278.50126804081,-0.14137661703817,0.05906830389549,-2.39344297558144,0.0166910756769004,0.0277583801388137
"ENSG00000132535.22",744.521000492598,-0.21424737409482,0.0895217327213964,-2.39324427244484,0.0167001185210105,0.0277705355430882
"ENSG00000180822.12",168.216792056425,0.321567992961034,0.13438929558157,2.39280957288635,0.0167199164013935,0.0278005710579383
"ENSG00000108826.16",363.377158214603,-0.17933640718496,0.074952779174796,-2.39265853994197,0.016726799841257,0.0278091294433686
"ENSG00000135835.12",136.63591046788,-0.308139396619843,0.128797817981897,-2.39242715014903,0.016737350430692,0.0278237822364706
"ENSG00000189190.11",83.2007736157634,0.319026336968562,0.13335279602582,2.3923483157173,0.0167409463474527,0.027823880505461
"ENSG00000278311.5",1025.90061039532,-0.139167923429887,0.0581728224598404,-2.39231856982633,0.0167423033387945,0.027823880505461
"ENSG00000214078.13",2108.0456271771,-0.23103895102501,0.0965756092689543,-2.39231160718425,0.0167426209846809,0.027823880505461
"ENSG00000166532.16",395.25867823125,0.222115531620392,0.0928657044088933,2.39179289097302,0.0167663004600222,0.0278603417852656
"ENSG00000261879.8",7.35141794000397,1.17755600967365,0.492453985132215,2.3912000820899,0.0167933982738154,0.0279024751194711
"ENSG00000095574.12",363.158933478168,0.210403978860378,0.0879928542903869,2.39114846946571,0.0167957593504989,0.0279035035283622
"ENSG00000154545.17",20.3151764178757,-0.613943765000222,0.256803487027076,-2.39071428549368,0.0168156331171129,0.0279336232769962
"ENSG00000187231.14",470.862688941472,-0.191131410049886,0.0799517932052211,-2.39058315501803,0.0168216393684944,0.0279407028689386
"ENSG00000157181.16",452.078002881036,-0.245170477330085,0.102564443293622,-2.39040421277587,0.0168298386104992,0.027948100894192
"ENSG00000129535.13",25.3849077485205,0.524516819094985,0.21942612127122,2.39040282012122,0.0168299024365344,0.027948100894192
